date,total_electricity
2016-10-27,88505000
2016-10-28,129972000
2016-10-29,116086000
2016-10-30,113286000
2016-10-31,132693000
2016-11-01,135452000
2016-11-02,129214000
2016-11-03,126140000
2016-11-04,129623000
2016-11-05,117541000
2016-11-06,113238000
2016-11-07,132684000
2016-11-08,130927000
2016-11-09,131512000
2016-11-10,135881000
2016-11-11,118060000
2016-11-12,117986000
2016-11-13,115029000
2016-11-14,132545000
2016-11-15,135002000
2016-11-16,133591000
2016-11-17,130757000
2016-11-18,128149000
2016-11-19,114551000
2016-11-20,115448000
2016-11-21,137057000
2016-11-22,137641000
2016-11-23,133066000
2016-11-24,121097000
2016-11-25,129283000
2016-11-26,119886000
2016-11-27,120785000
2016-11-28,138341000
2016-11-29,138375000
2016-11-30,132561000
2016-12-01,130347000
2016-12-02,133344000
2016-12-03,122343000
2016-12-04,121510000
2016-12-05,138672000
2016-12-06,138196000
2016-12-07,141177000
2016-12-08,138645000
2016-12-09,140448000
2016-12-10,128209000
2016-12-11,128573000
2016-12-12,140586000
2016-12-13,139689000
2016-12-14,137652000
2016-12-15,83293000
2016-12-16,147489000
2016-12-17,131598000
2016-12-18,127304000
2016-12-19,144920000
2016-12-20,146857000
2016-12-21,143359000
2016-12-22,141208000
2016-12-23,134476000
2016-12-24,124020000
2016-12-25,123622000
2016-12-26,124648000
2016-12-27,134398000
2016-12-28,137607000
2016-12-29,136768000
2016-12-30,130491000
2016-12-31,121027000
2017-01-01,119793000
2017-01-02,119810000
2017-01-03,135962000
2017-01-04,136117000
2017-01-05,139880000
2017-01-06,138776000
2017-01-07,125319000
2017-01-08,124554000
2017-01-09,146078000
2017-01-10,145502000
2017-01-11,140340000
2017-01-12,137204000
2017-01-13,134837000
2017-01-14,124067000
2017-01-15,124693000
2017-01-16,124954000
2017-01-17,139927000
2017-01-18,138804000
2017-01-19,139478000
2017-01-20,135947000
2017-01-21,118903000
2017-01-22,117146000
2017-01-23,133878000
2017-01-24,134138000
2017-01-25,141468000
2017-01-26,139809000
2017-01-27,138766000
2017-01-28,125298000
2017-01-29,125625000
2017-01-30,143574000
2017-01-31,144253000
2017-02-01,143406000
2017-02-02,143776000
2017-02-03,144319000
2017-02-04,129160000
2017-02-05,126546000
2017-02-06,144583000
2017-02-07,146921000
2017-02-08,144250000
2017-02-09,136407000
2017-02-10,143519000
2017-02-11,130089000
2017-02-12,129500000
2017-02-13,137675000
2017-02-14,147738000
2017-02-15,146334000
2017-02-16,146580000
2017-02-17,147088000
2017-02-18,131154000
2017-02-19,127792000
2017-02-20,129189000
2017-02-21,144677000
2017-02-22,142332000
2017-02-23,134733000
2017-02-24,130407000
2017-02-25,116753000
2017-02-26,119078000
2017-02-27,141574000
2017-02-28,139059000
2017-03-01,128007000
2017-03-02,131749000
2017-03-03,134323000
2017-03-04,124954000
2017-03-05,124725000
2017-03-06,144945000
2017-03-07,143213000
2017-03-08,135780000
2017-03-09,138921000
2017-03-10,138575000
2017-03-11,125416000
2017-03-12,123802000
2017-03-13,131896000
2017-03-14,133912000
2017-03-15,146089000
2017-03-16,146644000
2017-03-17,145293000
2017-03-18,127445000
2017-03-19,127553000
2017-03-20,142700000
2017-03-21,141804000
2017-03-22,140556000
2017-03-23,144873000
2017-03-24,143207000
2017-03-25,127094000
2017-03-26,127348000
2017-03-27,140226000
2017-03-28,138077000
2017-03-29,137661000
2017-03-30,137605000
2017-03-31,136605000
2017-04-01,122882000
2017-04-02,122210000
2017-04-03,137241000
2017-04-04,136833000
2017-04-05,134843000
2017-04-06,136296000
2017-04-07,129224000
2017-04-08,110950000
2017-04-09,109113000
2017-04-10,123155000
2017-04-11,124001000
2017-04-12,122641000
2017-04-13,123389000
2017-04-14,120147000
2017-04-15,105848000
2017-04-16,122549000
2017-04-17,105264000
2017-04-18,115432000
2017-04-19,118698000
2017-04-20,119854000
2017-04-21,122658000
2017-04-22,107174000
2017-04-23,106532000
2017-04-24,121657000
2017-04-25,121607000
2017-04-26,122678000
2017-04-27,119667000
2017-04-28,132818000
2017-04-29,104862000
