DateTime_Measured,Total_Demand_KW
10/27/2016 9:30,1716
10/27/2016 9:45,1724
10/27/2016 10:00,1731
10/27/2016 10:15,1724
10/27/2016 10:30,1739
10/27/2016 10:45,1743
10/27/2016 11:00,1758
10/27/2016 11:15,1751
10/27/2016 11:30,1728
10/27/2016 11:45,1720
10/27/2016 12:00,1731
10/27/2016 12:15,1720
10/27/2016 12:30,1712
10/27/2016 12:45,1712
10/27/2016 13:00,1701
10/27/2016 13:15,1728
10/27/2016 13:30,1731
10/27/2016 13:45,1708
10/27/2016 14:00,1735
10/27/2016 14:15,1720
10/27/2016 14:30,1701
10/27/2016 14:45,1685
10/27/2016 15:00,1674
10/27/2016 15:15,1670
10/27/2016 15:30,1666
10/27/2016 15:45,1655
10/27/2016 16:00,1647
10/27/2016 16:15,1655
10/27/2016 16:30,1674
10/27/2016 16:45,1666
10/27/2016 17:00,1632
10/27/2016 17:15,1585
10/27/2016 17:30,1536
10/27/2016 17:45,1493
10/27/2016 18:00,1470
10/27/2016 18:15,1466
10/27/2016 18:30,1459
10/27/2016 18:45,1478
10/27/2016 19:00,1451
10/27/2016 19:15,1459
10/27/2016 19:30,1413
10/27/2016 19:45,1451
10/27/2016 20:00,1420
10/27/2016 20:15,1313
10/27/2016 20:30,1224
10/27/2016 20:45,1224
10/27/2016 21:00,1217
10/27/2016 21:15,1213
10/27/2016 21:30,1244
10/27/2016 21:45,1221
10/27/2016 22:00,1213
10/27/2016 22:15,1224
10/27/2016 22:30,1205
10/27/2016 22:45,1182
10/27/2016 23:00,1159
10/27/2016 23:15,1155
10/27/2016 23:30,1098
10/27/2016 23:45,1075
10/28/2016 0:00,1079
10/28/2016 0:15,1082
10/28/2016 0:30,1090
10/28/2016 0:45,1117
10/28/2016 1:00,1113
10/28/2016 1:15,1098
10/28/2016 1:30,1105
10/28/2016 1:45,1105
10/28/2016 2:00,1090
10/28/2016 2:15,1090
10/28/2016 2:30,1079
10/28/2016 2:45,1052
10/28/2016 3:00,1048
10/28/2016 3:15,1075
10/28/2016 3:30,1079
10/28/2016 3:45,1090
10/28/2016 4:00,1109
10/28/2016 4:15,1102
10/28/2016 4:30,1086
10/28/2016 4:45,1090
10/28/2016 5:00,1082
10/28/2016 5:15,1240
10/28/2016 5:30,1351
10/28/2016 5:45,1274
10/28/2016 6:00,1255
10/28/2016 6:15,1317
10/28/2016 6:30,1317
10/28/2016 6:45,1320
10/28/2016 7:00,1344
10/28/2016 7:15,1351
10/28/2016 7:30,1363
10/28/2016 7:45,1382
10/28/2016 8:00,1424
10/28/2016 8:15,1466
10/28/2016 8:30,1482
10/28/2016 8:45,1509
10/28/2016 9:00,1190
10/28/2016 9:15,1059
10/28/2016 9:30,1635
10/28/2016 9:45,879
10/28/2016 10:00,1136
10/28/2016 10:15,1651
10/28/2016 10:30,1639
10/28/2016 10:45,1670
10/28/2016 11:00,1678
10/28/2016 11:15,1678
10/28/2016 11:30,1681
10/28/2016 11:45,1674
10/28/2016 12:00,1651
10/28/2016 12:15,1628
10/28/2016 12:30,1624
10/28/2016 12:45,1608
10/28/2016 13:00,1635
10/28/2016 13:15,1655
10/28/2016 13:30,1658
10/28/2016 13:45,1651
10/28/2016 14:00,1643
10/28/2016 14:15,1639
10/28/2016 14:30,1612
10/28/2016 14:45,1635
10/28/2016 15:00,1643
10/28/2016 15:15,1639
10/28/2016 15:30,1628
10/28/2016 15:45,1628
10/28/2016 16:00,1593
10/28/2016 16:15,1562
10/28/2016 16:30,1547
10/28/2016 16:45,1551
10/28/2016 17:00,1555
10/28/2016 17:15,1543
10/28/2016 17:30,1524
10/28/2016 17:45,1509
10/28/2016 18:00,1466
10/28/2016 18:15,1428
10/28/2016 18:30,1409
10/28/2016 18:45,1397
10/28/2016 19:00,1405
10/28/2016 19:15,1416
10/28/2016 19:30,1405
10/28/2016 19:45,1397
10/28/2016 20:00,1347
10/28/2016 20:15,1297
10/28/2016 20:30,1240
10/28/2016 20:45,1224
10/28/2016 21:00,1213
10/28/2016 21:15,1248
10/28/2016 21:30,1221
10/28/2016 21:45,1205
10/28/2016 22:00,1190
10/28/2016 22:15,1171
10/28/2016 22:30,1175
10/28/2016 22:45,1171
10/28/2016 23:00,1213
10/28/2016 23:15,1217
10/28/2016 23:30,1090
10/28/2016 23:45,1040
10/29/2016 0:00,1036
10/29/2016 0:15,1036
10/29/2016 0:30,1067
10/29/2016 0:45,1079
10/29/2016 1:00,1063
10/29/2016 1:15,1013
10/29/2016 1:30,1017
10/29/2016 1:45,1021
10/29/2016 2:00,1040
10/29/2016 2:15,1040
10/29/2016 2:30,1048
10/29/2016 2:45,1048
10/29/2016 3:00,1032
10/29/2016 3:15,1032
10/29/2016 3:30,1044
10/29/2016 3:45,1056
10/29/2016 4:00,1044
10/29/2016 4:15,1075
10/29/2016 4:30,1075
10/29/2016 4:45,1067
10/29/2016 5:00,1044
10/29/2016 5:15,1209
10/29/2016 5:30,1313
10/29/2016 5:45,1278
10/29/2016 6:00,1286
10/29/2016 6:15,1290
10/29/2016 6:30,1282
10/29/2016 6:45,1309
10/29/2016 7:00,1313
10/29/2016 7:15,1328
10/29/2016 7:30,1336
10/29/2016 7:45,1320
10/29/2016 8:00,1324
10/29/2016 8:15,1305
10/29/2016 8:30,1286
10/29/2016 8:45,1301
10/29/2016 9:00,1305
10/29/2016 9:15,1301
10/29/2016 9:30,1324
10/29/2016 9:45,1359
10/29/2016 10:00,1344
10/29/2016 10:15,1324
10/29/2016 10:30,1309
10/29/2016 10:45,1301
10/29/2016 11:00,1305
10/29/2016 11:15,1313
10/29/2016 11:30,1313
10/29/2016 11:45,1313
10/29/2016 12:00,1297
10/29/2016 12:15,1320
10/29/2016 12:30,1309
10/29/2016 12:45,1317
10/29/2016 13:00,1347
10/29/2016 13:15,1336
10/29/2016 13:30,1336
10/29/2016 13:45,1297
10/29/2016 14:00,1313
10/29/2016 14:15,1305
10/29/2016 14:30,1305
10/29/2016 14:45,1305
10/29/2016 15:00,1305
10/29/2016 15:15,1305
10/29/2016 15:30,1290
10/29/2016 15:45,1301
10/29/2016 16:00,1294
10/29/2016 16:15,1286
10/29/2016 16:30,1286
10/29/2016 16:45,1286
10/29/2016 17:00,1278
10/29/2016 17:15,1274
10/29/2016 17:30,1271
10/29/2016 17:45,1305
10/29/2016 18:00,1313
10/29/2016 18:15,1297
10/29/2016 18:30,1278
10/29/2016 18:45,1282
10/29/2016 19:00,1282
10/29/2016 19:15,1282
10/29/2016 19:30,1286
10/29/2016 19:45,1305
10/29/2016 20:00,1294
10/29/2016 20:15,1194
10/29/2016 20:30,1082
10/29/2016 20:45,1075
10/29/2016 21:00,1067
10/29/2016 21:15,1075
10/29/2016 21:30,1082
10/29/2016 21:45,1063
10/29/2016 22:00,1044
10/29/2016 22:15,1048
10/29/2016 22:30,1036
10/29/2016 22:45,1040
10/29/2016 23:00,1036
10/29/2016 23:15,1048
10/29/2016 23:30,1032
