bp_loc_id,avg_count,Monday count,Tuesday count,Wednesday count,Thursday count,Friday count,Saturday count,Sunday count
20106,301.45833333333337,301.45833333333337,315.58333333333337,233.25,287.91666666666663,129.25,301.45833333333337,301.45833333333337
20008,62.66666666666667,62.66666666666667,104.16666666666667,52.75,62.66666666666667,62.66666666666667,41.0,62.66666666666667
20055,101.58333333333334,199.5,50.5,101.58333333333334,101.58333333333334,101.58333333333334,101.58333333333334,101.58333333333334
20056,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75
20058,721.0414295874823,226.5,371.2916666666667,520.75,398.25,1408.0,1004.1959064327485,935.0
10713,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5
20059,186.0,186.0,208.0,186.0,186.0,186.0,124.0,232.5
20003,954.9261904761905,954.9261904761905,1114.1666666666665,1005.0,588.0,1393.5,954.9261904761905,185.58333333333334
20120,2828.686813186813,2828.686813186813,1436.625,2822.25,2209.5,2828.686813186813,3716.404761904762,2828.686813186813
20006,84.5,84.5,84.5,84.5,84.5,84.5,49.0,120.0
20132,481.0,481.0,793.0,474.5,481.0,481.0,349.5,307.0
20135,539.0,539.0,539.0,539.0,692.0,539.0,386.0,539.0
20110,811.75,811.75,1170.5,450.0,811.75,811.75,647.0,811.75
20133,523.8333333333334,523.8333333333334,517.75,366.1666666666667,706.0,523.8333333333334,523.8333333333334,523.8333333333334
20112,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0
20134,715.0,715.0,824.0,715.0,606.0,715.0,715.0,715.0
20113,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5
20115,112.02222222222223,112.02222222222223,77.58333333333334,144.0,181.0,112.02222222222223,73.16666666666667,112.02222222222223
20116,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5
20118,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0
20125,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5
20036,165.5,165.5,165.5,165.5,165.5,165.5,165.5,165.5
20131,573.0,573.0,573.0,573.0,573.0,573.0,573.0,573.0
20081,528.5,528.5,528.5,528.5,528.5,528.5,528.5,528.5
20123,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
20085,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
341,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
11048,321.5,321.5,321.5,321.5,321.5,321.5,321.5,321.5
