bp_loc_id,avg_count,Monday count,Tuesday count,Wednesday count,Thursday count,Friday count,Saturday count,Sunday count,distance_to_city_hall_miles
20106,301.45833333333337,301.45833333333337,315.58333333333337,233.25,287.91666666666663,129.25,301.45833333333337,301.45833333333337,0.8543141643882903
10713,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,0.3804885933953209
20132,481.0,481.0,793.0,474.5,481.0,481.0,349.5,307.0,1.752712422621023
20135,539.0,539.0,539.0,539.0,692.0,539.0,386.0,539.0,1.752712422621023
20133,523.8333333333334,523.8333333333334,517.75,366.1666666666667,706.0,523.8333333333334,523.8333333333334,523.8333333333334,0.8543141643882903
20112,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0,4944.0,1.252628767954841
20134,715.0,715.0,824.0,715.0,606.0,715.0,715.0,715.0,2.752846876470099
20113,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5,2028.5,3.5368162772536382
20116,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5,2906.5,2.50646904367768
20118,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,0.3573483661354215
20125,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,3.3908562886125555
20123,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,4.477706881477856
341,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,1.7849487705970304
11048,321.5,321.5,321.5,321.5,321.5,321.5,321.5,321.5,0.6930144305044807
20064,246.4375,246.4375,429.5,71.5,246.4375,246.4375,252.5,208.0,0.6625416177909254
20065,306.0,306.0,127.83333333333334,112.0,306.0,306.0,431.7,356.0,0.6625416177909254
20071,212.5,212.5,212.5,212.5,212.5,212.5,212.5,212.5,2.088020433896909
20139,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,5.372426156148009
20009,204.5,204.5,304.5,204.5,21.0,204.5,288.0,204.5,1.856486951816504
20017,1582.5,1582.5,1582.5,1582.5,1582.5,1582.5,1582.5,1582.5,2.8209951431506446
20146,266.33333333333337,266.33333333333337,345.0,266.33333333333337,88.0,266.33333333333337,285.99999999999994,266.33333333333337,9.770221159863896
20164,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,7.771125139213668
20166,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,3258.461390224661
20016,2081.25,2081.25,2081.25,1978.5,2081.25,2081.25,2184.0,2081.25,4.80573524658372
20168,155.49999999999997,155.49999999999997,155.49999999999997,107.0,268.5,155.49999999999997,91.0,155.49999999999997,2.137947502857396
20169,201.5,201.5,201.5,201.5,201.5,201.5,201.5,201.5,2.1209785217567605
20172,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,8.584444883172765
20173,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,7.959717709281257
20174,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,1.805410668443563
20175,156.5,156.5,99.5,156.5,156.5,156.5,213.5,156.5,1.7849487705970304
11015,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,1.805410668443563
20178,638.0,638.0,638.0,682.5,810.0,638.0,421.5,638.0,4.984823297155905
402,1317.75,1317.75,1220.5,1415.0,1317.75,1317.75,1317.75,1317.75,2.5058913746766427
20121,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0,1.2520026610283743
20189,31.193548387096776,31.193548387096776,40.083333333333336,32.1,35.07692307692308,16.5,26.642857142857142,24.545454545454547,571.7516825814232
20200,677.0,677.0,677.0,333.0,1021.0,677.0,677.0,677.0,8.117528541620022
20277,9.8,9.8,11.5,1.0,9.0,16.0,9.8,9.8,1.7959735436002795
20278,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,4.553182432440626
20281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.420716564322145
20282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.420716564322145
20283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425183775603287
20284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425183775603287
20285,76.0,76.0,120.0,74.0,34.0,76.0,76.0,76.0,3.602769308142643
20291,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,3.602769308142643
